Samtala,,Sérheiti,Hlutverk,Tegund,X (A),Y (N),nakvaemni,Uppdrættir,Ljósmyndir,Skrásetjari á vettvangi,Dags,Skrásetjari á gagnagrunn,Dagsetning innsláttar,Sveitarfélagsnúmer
ÁR-004:043,,Gamli nátthagi,nátthagi,tóftaþyrping,417039,380975,2,ÁR004-043,ÁR-004_043 a-c,RGG,13/05/11,ÁE,,
ÁR-004:044,,,nátthagi,heimild,417330,381334,2,,,RGG,13/05/11,ÁE,,
ÁR-004:045,,Helluvað,vað,heimild,417156,381820,2,,ÁR_004_045_N,RGG,13/05/11,ÁE,,
ÁR-004:046,,,leið,gata,417603,382395,2,,ÁR_004_046_V; ÁR_004_046_V(2),RGG,16/05/11,ÁE,,
ÁR-004:049,,,útihús,heimild,417720,381372,2,,,RGG,12/05/11,ÁE,,
ÁR-004:050,,,traðir,heimild,417684,380988,2,,,RGG,12/05/11,ÁE,,
ÁR-004:051,,,kálgarður,hleðsla,417670,381310,2,ÁR004-051,ÁR_004_051_V,RGG,12/05/11,ÁE,,
ÁR-004:052,,,útihús,heimild,417658,381217,2,,,rgg,13/05/10,ÁE,,
ÁR-004:053,,,samgöngubót,brú,417934,381972,2,,ÁR_004_053_N,RGG,16/05/11,ÁE,,
ÁR-004:054,,,útihús,heimild,417720,381253,2,,,RGG,12/05/11,ÁE,,
ÁR-004:055,,,,hleðsla,417141,380181,2,ÁR004-055,ÁR_004_055_SSV; ÁR_004_055_V,RGG,18/05/11,,,
ÁR-004:056,,,mógrafir,náma,416780,382257,2,,,RGG,16/01/11,,,
ÁR-004:057,,,vað,heimild,417155,381892,2,,,RGG,16/05/11,,,
ÁR-005:001,,Egilsstaðir,bústaður,bæjarhóll,415920,378331,2,ÁR005-001,ÁR_005_001_ASA; ÁR_005_001_S,OV/RGG,06/12/03,SG,14/05/06,
ÁR-005:002,,,bænhús,mannabein,415937,378319,2,,ÁR_005_002_A,OV,06/12/03,ÁE,,
